tweet_id,tweet_link,author_name,author_handle,text,timestamp,likes,retweets,replies,image_urls,is_reply,reply_to,conversation_id
1784199117893439580,https://x.com/lkumar101/status/1784199117893439580,Lalit Arya,@lkumar101,@FibeIndia  your agents keep calling and threatening my family and relatives  @DelhiPolice   @Cyberdost  can you please help how to file online fir,2024-04-27T12:33:13.000Z,1,0,3,https://pbs.twimg.com/media/GMK_o2QWEAAOgNu?format=jpg&name=small,False,,
1785905086096605266,https://x.com/lkumar101/status/1785905086096605266,Lalit Arya,@lkumar101,"@akshay_mehrotra  you coward  @FibeIndia  why you not responding to my email and recording i have shared with you Fibe, why u not replying? I need your goon details his name and address",2024-05-02T05:32:07.000Z,1,0,3,,False,,
1787818568727556350,https://x.com/Thouseef23/status/1787818568727556350,Thouseef,@Thouseef23,@FibeIndia   @RBI   @BlrCityPolice,2024-05-07T12:15:37.000Z,1,0,2,https://pbs.twimg.com/media/GM-bgaoaEAEpxe4?format=jpg&name=900x900,False,,
1789378766470320194,https://x.com/VishalMishra97/status/1789378766470320194,VISHAL MISHRA,@VishalMishra97,"I have shared my contact details but no one cares, how customer is being treated so no tired to contact,  @rbi  please look into this harassment 

 @ABPNews   @aajtak   @CNNnews18   @RBIsays",2024-05-11T19:35:17.000Z,1,0,3,,False,,
1789863870988689757,https://x.com/VishalMishra97/status/1789863870988689757,VISHAL MISHRA,@VishalMishra97,@WIONews   @ABPNews   @CNNnews18   @nsitharamanoffc   @Cyberdost  I have got tortured from agency crescent credit services which have been assigned by  @FibeIndia  to use abusive language against me and now they are not even bothered to contact me,2024-05-13T03:42:55.000Z,1,0,3,,False,,
1789710080524595434,https://x.com/PrashantLunkad/status/1789710080524595434,Prashant Lunkad,@PrashantLunkad,@DasShaktikanta  fibe app Bina OTP ke cibil report Mai enquiries dal Raha hai jabadasti,2024-05-12T17:31:49.000Z,0,0,2,,False,,
1789994854379835653,https://x.com/PrashantLunkad/status/1789994854379835653,Prashant Lunkad,@PrashantLunkad,@DasShaktikanta  fake enquiries bhi remove nahi karate hai fibe app ki  @CIBIL_Official  Bina OTP ki enquiry hai,2024-05-13T12:23:24.000Z,0,0,2,,False,,
1789709449357406491,https://x.com/PrashantLunkad/status/1789709449357406491,Prashant Lunkad,@PrashantLunkad,@RBI  Bina OTP ke enquiries dall Raha hai cibil.mai fibe app,2024-05-12T17:29:18.000Z,0,0,1,,False,,
1789809385742672342,https://x.com/Mangesh_Jadhavv/status/1789809385742672342,Mangesh Jadhav,@Mangesh_Jadhavv,Scammers,2024-05-13T00:06:25.000Z,0,0,1,,False,,
1790802998995689645,https://x.com/DeepeshJan/status/1790802998995689645,Deepesh Jangid,@DeepeshJan,"Because I already did not have any loan, it was showing in my CIBIL, still I paid overdue, who will be responsible for my CIBIL.  @RBI   @FibeIndia",2024-05-15T17:54:41.000Z,0,0,3,,False,,
1789514464271941709,https://x.com/rabindra_m22832/status/1789514464271941709,rabindra mistry,@rabindra_m22832,@FibeIndia,2024-05-12T04:34:30.000Z,1,0,3,https://pbs.twimg.com/media/GNWh6XXWkAAhwIr?format=jpg&name=900x900,False,,
1789514712167932069,https://x.com/rabindra_m22832/status/1789514712167932069,rabindra mistry,@rabindra_m22832,@FibeIndia,2024-05-12T04:35:29.000Z,0,0,1,https://pbs.twimg.com/media/GNWiI5HXIAAxHjY?format=jpg&name=900x900,False,,
1789543245669970025,https://x.com/niharikasingh01/status/1789543245669970025,Niharika Singh,@niharikasingh01,No response from  @RBI,2024-05-12T06:28:52.000Z,1,0,2,,False,,
1790716152567746748,https://x.com/friend4uritesh/status/1790716152567746748,Ritesh Mahapatra,@friend4uritesh,"@FibeIndia  THIS IS TO INFORM EVERYONE DONT GO FOR ANYLOAN IN THIS COMPANY BECAUSE YOU WILL PAY AND CLOSE YOUR LOAN WITHOUT ANY DEFAULT BUT THEN ALSO YOUR ACCOUNT WILL BE BLOCKED AND U WILL NOT BE ELIGIBLE FOR MORE LOAN IN FUTURE.
PATHETIC COMPANY EVER SEEN BEFORE",2024-05-15T12:09:35.000Z,0,0,1,,False,,
1790672477452140665,https://x.com/RanjeetKum68523/status/1790672477452140665,Ranjeet Kumar,@RanjeetKum68523,"@FibeIndia  Dear Sir,

I am writing to formally lodge a complaint regarding the harassment and threatening messages I have been receiving from your representatives.
I received a WhatsApp message From unknown number they asking for pending dues i have said that will pay today.",2024-05-15T09:16:02.000Z,1,0,2,https://pbs.twimg.com/media/GNm_HNJaQAEMUHS?format=jpg&name=small|https://pbs.twimg.com/media/GNm_HQ5aUAA9Pbt?format=jpg&name=small|https://pbs.twimg.com/media/GNm_HNRaoAAxcTK?format=jpg&name=small|https://pbs.twimg.com/media/GNm_HQ2bUAAtaUp?format=jpg&name=small,False,,
1789946877330301179,https://x.com/BLACKLISTEDMJ31/status/1789946877330301179,BLACKLISTEDMJ,@BLACKLISTEDMJ31,"Dear 

 @PiramalGroup  

Must change' my name
I also done 2 kyc in FIBE APPLICATION 

 @PiramalFinance  
Give me dm permission for screenshot and details",2024-05-13T09:12:45.000Z,0,0,2,,False,,
