tweet_link,tweet_id,author_name,author_handle,text,timestamp,likes,retweets,replies,is_reply,image_urls,year_month,language,tweets_transl,topics
https://x.com/DarmakarS/status/1843930072174211205,1843930072174211205,Darmakar Sairam,@DarmakarS,Why u blackmailing us like this using abusing language who gave you right to talk like this u people only call us back to back & attach loan to us again now harassing for payment,2024-10-09 08:22:42+00:00,0,0,1,False,,2024-10,en,Why u blackmailing us like this using abusing language who gave you right to talk like this u people only call us back to back & attach loan to us again now harassing for payment,harassment calls
https://x.com/iamamityadab/status/1843922114048602351,1843922114048602351,Amit yadav,@iamamityadab,@Paisabazaar_in   You're sending the same KreditBee officer who fraudulently took my details from DigiLocker. Now KreditBee is denying the loan. Take responsibility and provide the loan as per my KYC!  @kreditbee   @jagograhakjago   #FraudAlert   #ConsumerRights   #DataSecurity,2024-10-09 07:51:05+00:00,0,0,1,False,"https://pbs.twimg.com/media/GZbtY8zasAAKVBM?format=jpg&name=900x900, https://pbs.twimg.com/media/GZbtZA8bQAAqvgG?format=jpg&name=900x900",2024-10,en,@Paisabazaar_in   You're sending the same KreditBee officer who fraudulently took my details from DigiLocker. Now KreditBee is denying the loan. Take responsibility and provide the loan as per my KYC!  @kreditbee   @jagograhakjago   #FraudAlert   #ConsumerRights   #DataSecurity,harassment calls
https://x.com/sajjak786ali/status/1843922595923505410,1843922595923505410,Sajjak Ali,@sajjak786ali,@kreditbee  call me,2024-10-09 07:52:59+00:00,0,0,1,False,,2024-10,en,@kreditbee call me,harassment calls
https://x.com/K_S_RATNAPARKHI/status/1843916538082144479,1843916538082144479,कल्याणराव रत्नपारखी,@K_S_RATNAPARKHI,Check ur DM and Stop this now.,2024-10-09 07:28:55+00:00,0,0,1,False,,2024-10,en,Check ur DM and Stop this now.,harassment calls
https://x.com/AtulShu32533498/status/1843915483109802289,1843915483109802289,Atul Shukla,@AtulShu32533498,"@kreditbee  Your collection agent Joginder is harassing me and abusing me for 1 day payment delay, he is discussing my aukaat and said don't bark, he also said he do not care what RBI says, are you going to take action against him?   @RBI   @jagograhakjago",2024-10-09 07:24:44+00:00,0,0,1,False,"https://pbs.twimg.com/media/GZbnHvpWUAACFAW?format=jpg&name=900x900, https://pbs.twimg.com/media/GZbnHvqWYAA693M?format=jpg&name=900x900",2024-10,en,"@kreditbee  Your collection agent Joginder is harassing me and abusing me for 1 day payment delay, he is discussing my aukaat and said don't bark, he also said he do not care what RBI says, are you going to take action against him?   @RBI   @jagograhakjago",harassment calls
https://x.com/AtulShu32533498/status/1843918493135319270,1843918493135319270,Atul Shukla,@AtulShu32533498,"I am sending you dm, but this is not the first time a borrower has complained against your collection agents, what actions have you taken in the past against this agency named Finnovation Tech Solutions Pvt. Ltd.?",2024-10-09 07:36:41+00:00,0,0,1,False,,2024-10,en,"I am sending you dm, but this is not the first time a borrower has complained against your collection agents, what actions have you taken in the past against this agency named Finnovation Tech Solutions Pvt. Ltd.?",harassment calls
https://x.com/Shyama317953/status/1843565119030386805,1843565119030386805,Shyama,@Shyama317953,@kreditbee,2024-10-08 08:12:30+00:00,0,0,1,False,,2024-10,af,@kreditbee,harassment calls
https://x.com/TechsuggestA/status/1843283961700819290,1843283961700819290,Anupam Banerjee,@TechsuggestA,@kreditbee  your approval time is biggest problem. NO RESPONSE   Do rectify that ASAP for the customers,2024-10-07 13:35:17+00:00,0,0,1,False,,2024-10,en,@kreditbee  your approval time is biggest problem. NO RESPONSE   Do rectify that ASAP for the customers,harassment calls
https://x.com/GorakshnathLK/status/1843283084319567978,1843283084319567978,Gorakshnath Kadam,@GorakshnathLK,@kreditbee  My CIBIL score is damage due to wrong information provided by you please correct it,2024-10-07 13:31:48+00:00,0,0,1,False,,2024-10,en,@kreditbee  My CIBIL score is damage due to wrong information provided by you please correct it,harassment calls
https://x.com/Cryptosumi24270/status/1843269815265624499,1843269815265624499,Sumith Ohal,@Cryptosumi24270,@nch1915  I not able to repay remaining loan due to my financial situation. Im job less. But I'm scared of  @kreditbee  recovery agents they will harras me with der bad language there leaked my phto data on internet &my contact.Plz help me  @LCAI_Support   @Awhadspeaks   @DGPMaharashtra,2024-10-07 12:39:04+00:00,0,0,3,False,,2024-10,en,@nch1915  I not able to repay remaining loan due to my financial situation. Im job less. But I'm scared of  @kreditbee  recovery agents they will harras me with der bad language there leaked my phto data on internet &my contact.Plz help me  @LCAI_Support   @Awhadspeaks   @DGPMaharashtra,harassment calls
