tweet_id,author_name,author_handle,text,timestamp,likes,retweets,replies,image_url,tweet_link,year_month
1843210126553239823,shiksha jha,@shiksha_jh5714,@FibeIndia @RBI again your agency partner started abusing me ..what do you want now ? You just have trained your agency to abuses us. Pleas stop this kind of nonsense now. Don't defame ur brand.,2024-10-05 11:07:14+00:00,0,0,1,https://pbs.twimg.com/media/GZHz7bMXYAESaMH?format=jpg&name=small,https://x.com/shiksha_jh5714/status/1843210126553239823,2024-10
1847246335260373246,Mukesh patil,@Mukeshpati77212,"@FibeIndia  I need to stop this , we have need a 2 to 3 month time for pay the EMI after tham and any collection team has coming for home we take legal action from him and company",2024-10-18 12:00:21+00:00,0,0,1,,https://x.com/Mukeshpati77212/status/1847246335260373246,2024-10
1839989925468602564,Mohaan MKC,@MohaanMKC,"Stop harrasement and illigal  activity, agent and agrncy need to punish and terminate",2024-09-28 11:25:58+00:00,0,0,1,,https://x.com/MohaanMKC/status/1839989925468602564,2024-09
1843018939842150472,Akash,@akashsam22,@FibeIndia  I AM AWAITING YOUR THOUGHTS TEAM FIBE ???,2024-10-05 20:43:39+00:00,0,0,1,,https://x.com/akashsam22/status/1843018939842150472,2024-10
1846598069917217108,Arbaaz Ansari,@aa_arbaaz22,@FibeIndia  Your agents are threatening to visit my office and harassing me despite my financial crisis and willingness to settle. This violates RBI guidelines. Please resolve this immediately.  #CustomerRights   #RBIGuidelines   #RespectDignity   #earlysalary   #fibe,2024-10-16 17:04:22+00:00,2,1,2,https://pbs.twimg.com/media/GaBvKE4WQAAyUWp?format=jpg&name=small,https://x.com/aa_arbaaz22/status/1846598069917217108,2024-10
1846460726937895155,Boxofficesutra,@BoxofficeSutra,@FibeIndia  Hi I need urgent resolution..Pls DM me..,2024-10-16 06:47:18+00:00,0,0,2,,https://x.com/BoxofficeSutra/status/1846460726937895155,2024-10
1840628289758499001,Niharika Gupta,@imniharikagupta,"Hello  @fibe   @FibeIndia  This is Niharika Loan id-1433640592. I'm currently jobless and have informed your team through your official email. I assured you that I'm relentlessly searching for a job and will start paying my EMIs as soon as I'm employed.",2024-09-30 05:42:36+00:00,0,0,3,https://pbs.twimg.com/media/GYs5qsbbIAApH-m?format=jpg&name=small,https://x.com/imniharikagupta/status/1840628289758499001,2024-09
1846423400350167447,Sunil Verma,@SunilVe10793454,"@FibeIndia   Your agent are abusing me. Agent details in screenshot Fibe team immediate action FYI  @RBI My loan account number : LAI1005689047 #kkv #kunalarmy",2024-10-16 05:30:18+00:00,2,1,2,https://pbs.twimg.com/media/GZ_QSdhXoAA4cPV?format=jpg&name=large,https://x.com/SunilVe10793454/status/1846423400350167447,2024-10
1840263365328859558,Sanjeev Pandey,@Sanjeev39462430,Your recovery agency is calling on Sunday. Who is given right to call on Sunday  @FibeIndia   @jagograhakjago   @jagograhakjago   @CNBC_Awaaz   @ETMarkets   @et_cfo,2024-09-29 05:32:31+00:00,0,1,1,,https://x.com/Sanjeev39462430/status/1840263365328859558,2024-09
1843178668543365464,MS,@Mansi_dbookworm,@FibeIndia  you people accessed the data from my phone illegally and without my permission. Fraud company. Harassment karne mein you people are number 1. I will go to consumer court. Do you realise how stressful it is for a heart patient?,2024-10-07 06:36:53+00:00,0,0,1,https://pbs.twimg.com/media/GZRJN2NbQAAOrlR?format=jpg&name=small,https://x.com/Mansi_dbookworm/status/1843178668543365464,2024-10
1843519961412825269,Aditya Satpute,@satpute22851,"@FibeIndia   @RBIsays  I Aditya Satpute your recovery agent is threatening me and using abusive language also not telling his name I have also asked for the office address which is not provided by them kindly look into this also attaching your recovery agent number",2024-10-08 05:13:04+00:00,0,0,2,https://pbs.twimg.com/media/GZV_ooWasAEfYO8?format=jpg&name=medium,https://x.com/satpute22851/status/1843519961412825269,2024-10
1846173230379241821,Chetan singh,@Chetans27186404,"chor party hai",2024-10-15 12:56:13+00:00,0,0,1,,https://x.com/Chetans27186404/status/1846173230379241821,2024-10
1841351718551863364,Pintu kumar pal,@pintukumarpal2,"@FibeIndia  Hey, I paid your EMI but in your app, showing its failed but from my account is debited successfully.
Please help for resolving this issue on urgent basis 
Regards",2024-10-02 05:37:15+00:00,0,0,6,,https://x.com/pintukumarpal2/status/1841351718551863364,2024-10
1839207567630938158,Amit Jha,@PanditAmit1991,@FibeIndia  when you will stop harrasing me and my family.,2024-09-26 07:37:09+00:00,0,1,2,https://pbs.twimg.com/media/GYYsdshXgAAySmp?format=jpg&name=small,https://x.com/PanditAmit1991/status/1839207567630938158,2024-09
1846173124707926175,Chetan singh,@Chetans27186404,distrod cibil no cal no massage bad man,2024-10-15 12:55:47+00:00,0,0,1,,https://x.com/Chetans27186404/status/1846173124707926175,2024-10
1846392056715137075,Syed imtiyaz,@Syedimt49390252,"Could you please check my recent email , if your authorisation agency is not talk in polite way not going to pay single rupee",2024-10-16 10:53:55+00:00,0,0,1,,https://x.com/Syedimt49390252/status/1846392056715137075,2024-10
1843883567727948194,Syed imtiyaz,@Syedimt49390252,Don't worry nothing is going to happen if they will file a case trust me they are not following rbi guidelines so court will take a action on this company not on you even default is not a crime,2024-10-09 05:17:54+00:00,1,0,2,,https://x.com/Syedimt49390252/status/1843883567727948194,2024-10
1846076228307923311,Sanket Yelve,@SanketYelv94899,"I have a loan with  @FibeIndia  and i told them to pay On 20 on my salary date but  @FibeIndia  employee calling my family and relatives and blackmailing them they are threatening them. My relatives are so scared & they are innocent in this case.
@CPMumbaiPolice 
 @PuneCityPolice",2024-10-15 06:30:45+00:00,0,2,1,https://pbs.twimg.com/media/GZ6UiuAXgAAfQo2?format=jpg&name=large,https://x.com/SanketYelv94899/status/1846076228307923311,2024-10
1846172861318250906,Chetan singh,@Chetans27186404,distroyed cibil and no any mail no call,2024-10-15 12:54:45+00:00,0,0,1,,https://x.com/Chetans27186404/status/1846172861318250906,2024-10
1845776347840311601,Yo yo,@Yoyo37023843638,Close the loan now  @RBI,2024-10-14 10:39:08+00:00,0,0,1,https://pbs.twimg.com/media/GZ2DzPdaYAABEzD?format=jpg&name=medium,https://x.com/Yoyo37023843638/status/1845776347840311601,2024-10
1842515319027278238,Harshita Jain,@advHarshita123,"@FibeIndia  
I've been dealing with relentless harassment & non-stop calls and repetitive calls +918037217171 from recovery agents lately. It's unbelievable how far they go to meet their targets. It needs to stop!  #Harassment   #DebtRecovery   #UnfairPressure",2024-10-05 10:40:58+00:00,0,0,1,,https://x.com/advHarshita123/status/1842515319027278238,2024-10
1841061265026007353,Kranthi Kumar K,@Kranthi15063168,@FibeIndia  please check dm penalty and bounce charges still showing,2024-10-01 10:23:05+00:00,0,0,1,,https://x.com/Kranthi15063168/status/1841061265026007353,2024-10
1844245994722214188,Nafisa Khan,@Nafisa_khan3015,I am trying to pay my loan and settle my debts in small installments this recovery agent Sumit came in my house inspite of being notified about the preferred location and threatening me by saying if I don’t pay he will spoil my reputation.  @FibeIndia,2024-10-10 05:18:04+00:00,0,0,2,,https://x.com/Nafisa_khan3015/status/1844245994722214188,2024-10
1847292806836162869,Amit Tewari,@godISaDJ28,My limit is blocked ..kindly tell your backend team to reconsider the case,2024-10-18 15:05:00+00:00,0,0,1,,https://x.com/godISaDJ28/status/1847292806836162869,2024-10
1847155152681078992,Shakti Mehrotra,@ShaktiMehr91409,I took loan from fibe  due to some medical emergency and lost my job i am not able to pay emi and informed them over mail that i'll pay emi after one month once i get the job . i never denny even after informed over mail ...their recovery team calling my relative  @FinMinIndia,2024-10-18 05:58:01+00:00,0,0,2,https://pbs.twimg.com/media/GaJpZvZW8AAIvrf?format=jpg&name=small,https://x.com/ShaktiMehr91409/status/1847155152681078992,2024-10
1845725755994411012,Amit Jha,@PanditAmit1991,"@FibeIndia  i have already mailed you multiple time I dont have single penny but still you didn't stop harrassing me and my family and my friends.
You hacked my contact details and now calling them and threatning them.
 @FinMinIndia  kindly help me Mam against this nbfc
 @ZeeNews",2024-10-11 08:18:21+00:00,0,0,1,,https://x.com/PanditAmit1991/status/1845725755994411012,2024-10
