tweet_link,tweet_id,author_name,author_handle,text,timestamp,likes,retweets,replies,is_reply,image_urls,year_month,language,tweets_transl,topics,sentiment,sentiment_score
https://x.com/NaveenK51541172/status/1849420877542150529,1849420877542150529,Naveen KN,@NaveenK51541172,@kreditbee  again I'm getting like this message if u request is not approved means why u give me false promise kindly check this ASAP,2024-10-24 12:01:12+00:00,0,0,1,False,"https://pbs.twimg.com/media/Gap2fHfX0AAwQof?format=jpg&name=900x900, https://pbs.twimg.com/media/Gap2fKdXoAALlzk?format=jpg&name=900x900",2024-10,en,@kreditbee  again I'm getting like this message if u request is not approved means why u give me false promise kindly check this ASAP,request for loan closure,negative,0.5020143389701843
https://x.com/pankajdynamicl/status/1849413318693294149,1849413318693294149,Pankaj Jaiswal,@pankajdynamicl,To kredit bee team I haven't taken any loan I don't know who has added my number in the refrence and from morning till now you kredit bee team is calling me on harassing me again and Again  @kreditbee   @RBI   #loan  subham drivadi from the person he is giving me a bad words,2024-10-24 11:31:10+00:00,0,0,1,False,https://pbs.twimg.com/media/Gapvm6ZbcAA67FE?format=jpg&name=large,2024-10,en,To kredit bee team I haven't taken any loan I don't know who has added my number in the refrence and from morning till now you kredit bee team is calling me on harassing me again and Again  @kreditbee   @RBI   #loan  subham drivadi from the person he is giving me a bad words,harassment calls,negative,0.7488345503807068
https://x.com/DESHRAJDES24428/status/1849411625486623041,1849411625486623041,DESHRAJ DESHRAJ,@DESHRAJDES24428,@kreditbee,2024-10-24 11:24:26+00:00,0,0,1,False,,2024-10,af,@kreditbee,request for loan closure,positive,0.6546758413314819
https://x.com/ami_sanjoo/status/1849039113472602324,1849039113472602324,Shahbaz Khan,@ami_sanjoo,"@kreditbee   @RBI   @UIDAI 

Now kredit bee will charge unnecessery charges as they are not replying to my aadhar verified number .

I need to repay and number change.

Im chasing from 10 days .",2024-10-23 10:44:12+00:00,0,0,1,False,,2024-10,en,"@kreditbee   @RBI   @UIDAI 

Now kredit bee will charge unnecessery charges as they are not replying to my aadhar verified number .

I need to repay and number change.

Im chasing from 10 days .",non-compliance with laws,negative,0.3913552463054657
https://x.com/himalayanbouy_/status/1849055953267621893,1849055953267621893,Sagar,@himalayanbouy_,"@kreditbee  I am filing a complaint against your executive. Whome you asked while giving loan amount to friends or family..

Have you taken any written permission from outside ..",2024-10-23 11:51:07+00:00,0,0,1,False,,2024-10,en,"@kreditbee  I am filing a complaint against your executive. Whome you asked while giving loan amount to friends or family..

Have you taken any written permission from outside ..",non-compliance with laws,negative,0.6922445297241211
https://x.com/himalayanbouy_/status/1849338433422160104,1849338433422160104,Sagar,@himalayanbouy_,I don't have any kind of registration in your app nor taken loan .,2024-10-24 06:33:36+00:00,0,0,1,False,,2024-10,en,I don't have any kind of registration in your app nor taken loan .,request for loan closure,neutral,0.6484224796295166
https://x.com/PRASHAN90562564/status/1849347037286088937,1849347037286088937,PRASHANT SINGH,@PRASHAN90562564,@kreditbee  jb app logo ko lone dena nhi hai to Q itna advertisement karte ho bahut bekar app hai maine pura lone bhara tab bhi new lone nhi de pa raha hai ye gatiya app,2024-10-24 07:07:47+00:00,0,0,1,False,,2024-10,id,@kreditbee When you are not going to let people loan then why do you do so much advertisement. It is a very useless app. I have filled the entire loan and still is not able to give new loans. This is a fake app.,non-compliance with laws,negative,0.367165744304657
https://x.com/NaveenK51541172/status/1849342406166028681,1849342406166028681,Naveen KN,@NaveenK51541172,"@kreditbee  can u please check this ASAP   
Im requesting to you kindly give 3-4 days of time to repayment date kindly help me on this",2024-10-24 06:49:23+00:00,0,0,1,False,https://pbs.twimg.com/media/GaovHenWQAA2PIy?format=jpg&name=large,2024-10,en,"@kreditbee  can u please check this ASAP   
Im requesting to you kindly give 3-4 days of time to repayment date kindly help me on this",request for loan closure,positive,0.6155211329460144
https://x.com/ChandanViswkrma/status/1849278007652892991,1849278007652892991,Chandan Vishwakarma,@ChandanViswkrma,"@kreditbee 
Apke recovery agents false Advocate or Police banke dhamki de rahe ghar se uthake jail mein dalenge loan nahin bharne per. Please investigate and Stop this illigal activity. Facing Medical health issue. Loan Id KB231014DTBZG.
 @RBI 
 @nsitharaman 
 @RBIsays",2024-10-24 02:33:29+00:00,0,0,0,False,"https://pbs.twimg.com/media/Gan0ioka4AEnWi5?format=jpg&name=900x900, https://pbs.twimg.com/media/Gan0iqUbMAAHMZ7?format=jpg&name=900x900, https://pbs.twimg.com/media/Gan0iqVasAAqndo?format=jpg&name=900x900, https://pbs.twimg.com/media/Gan0itJbAAACjai?format=jpg&name=900x900",2024-10,en,"@kreditbee 
Your recovery agents, false advocates and police are threatening the banks, they will throw you out of your house and send you to jail if you don't repay the loan. Please investigate and stop this illegal activity. Facing Medical health issue. Loan Id KB231014DTBZG.
@RBI 
@nsitharaman 
@RBIsays",request for loan closure,negative,0.7368969321250916
https://x.com/himalayanbouy_/status/1849144287688114187,1849144287688114187,Sagar,@himalayanbouy_,"Your team is worst .
I don't have any loan amount from you.

I will definitely share ur executive mobile number",2024-10-23 17:42:08+00:00,0,0,0,False,,2024-10,en,"Your team is worst .
I don't have any loan amount from you.

I will definitely share ur executive mobile number",request for loan closure,negative,0.9218739867210388
